Username,Review Date,Visit Date,Business,Review Title,Review Text,Rating
emilet2014,"August 7, 2022",August 2022,Clochard,"Delicious food, good service in great area of Thessaloniki!","Excellent restaurant with friendly and customer focussen staff. Restaurant is in one of the coziest area of Thessaloniki. Wine was excellent, though recommended by a waiters that didn’t know too much of the wine. Food was tasteful,delicious and absolute worth to visit if your are in Thessaloniki!",5.0
10MichaelP10,"March 29, 2023",March 2023,Clochard,A must try restaurant in Thessaloniki,"Everything was excellent from the time we enter the restaurant till we left! A delicious welcome plate, the carpaccio octopus was so tasty as also tasty was the grilled octopus and cuttlefish with quinoa. The main dishes were also excellent and hearty! There is also...More",5.0
100User,"August 4, 2022",August 2022,Clochard,An amazing experience,"The restaurant was excellent, very good and friendly waiters, the food was amazing. First we had a gaspacho soup with some homemade bread, the starter was a very special greek salad, our main was some really tasty and juicy fish and the dessert was a...More",5.0
Stefanos T,"March 12, 2023",March 2023,Clochard,"Great ambiance, but...","The ambience, staff and music were excellent. However, the food was from average to disappointing. The papardella dishes with beef were below average, with the beef being very tough and not well cooked. The salads were ok, nothing special. One would expect a better effort...More",3.0
Arthur C,"June 10, 2022",June 2022,Clochard,Good restaurant,"We had a good time there, however when we mentioned that the salmon was way too cooked the waiter look at us and laugh at our face like « it is like that it should be eaten ». We really did not like it and we moved....More",3.0
Sunshinestater,"December 6, 2021",December 2021,Clochard,Place for steaks,"Recommend by concierge at Electra Palace Hotel. Good call! Dinner with three couples touring Greece together. Chateaubriand, filet mignon and grilled grouper perfectly cooked. Pasta with veal flavorful. Sommelier very knowledgeable. Also great value considering the quality of the food and level of service.",5.0
agch2016,"December 1, 2022",November 2022,Clochard,Poor,We have ordered different dishes and all of them weren't tasty. One of the meal was burned and too salty. Some mushrooms was so hard that I could not eat them. Meat chewy. Extremly expensive for this poor quality. The service as well poor. Nobody...More,1.0
396mili_t,"August 23, 2022",August 2022,Clochard,Michelin style,"This restaurant is one of the best in Thessaloniki. We were there with my buisness partner. We tried beef Tatar, foie gras, special salad and beef black angus. All the food was amazing … the best. Especially congratulation to the staff, very friendly and professional....More",5.0
kerrygousidou,"September 12, 2021",September 2021,Clochard,"Fine dining, great new location- but I would like to be asked for vaccination certificate before dining inside.","Fine dining, went two days in a row. The food was great, except one plate that arrived cold (meat) but they were willing to take it back. The service is friendly and the whole experience very nice. I did not like that they did not...More",4.0
GerOReilly,"December 22, 2022",October 2022,Clochard,My best dining experience in Thessaloniki,"Love everything about this gem - it was a perfect Sunday lunch experience with delicious refined food and perfect service in an elegant setting. Delicious Amuse Bouch to start, followed by appetizer of scallops, sage, onion marmalade and main of on of the best Seafood...More",5.0
HonestGuyC,"February 11, 2023",February 2023,Clochard,"Quality, too much food, touch expensive.","Food was very tasty. The wine list extensive enough, although the fact that 3 out of 4 whites by the glass were Assyrtiko/ Sauvignon Blanc (fruit bombs usually) is wrong. I would expect to see a wine list more adventurous than having only the big...More",4.0
CStrav,"June 10, 2022",June 2022,Clochard,Delicious meal and fantastic service,"If I could give this restaurant more than 5 stars, I would! We loved our dining experience at Clochard. The food was absolutely delicious and the staff were very polite, professional and helpful. The chic and relaxed ambiance at the restaurant added to the whole...More",5.0
26DPA,"November 14, 2022",November 2022,Clochard,Excellent French,"Nice French restaurant in sallonica. Excellent cuisine, congratulations to the chef. Very nice setting and nice history of this restaurant. We had a perfectly cooked steak as if it was in Paris. I d suggest you visit it on a Saturday night a time at...More",5.0
Andreas R,"November 25, 2022",November 2022,Clochard,Memorably good,"The light, delicious take on moussaka joins the short list of dishes that I shall remember for ever. Incredible to make such a normally rich dish so light as to be a starter. Followed with a flank steak cooked to perfection. In a city full...More",5.0
Chrysis20,"January 1, 2020",January 2020,Clochard,A truly authentic and very Classy restaurant,"In a very nice and well decorated atmosphere, you will enjoy excellent Mediterranean cuisine. Taste the best. Very fine and well cooked dishes with superlative taste. The wine list is very complete. Service is, what we call, professional, friendly and very polite. I could say...More",5.0
Marcy R,"June 15, 2022",June 2022,Clochard,Exceptional and completely unexpected,"We just stopped in for appetizers, but oh my goodness were we impressed. An unexpected amuse bouche of gazpacho, super refreshing and delicate to start the meal. Amazing whipped truffle butter with several small bread rolls. Grilled octopus with eggplant bits was a superb complement. Veal mussaka was incredible and the portion was larger than expected for a starter. Service was outstanding - staff was so attentive and friendly. Asked for a wine recommendation and was not disappointed. This restaurant deserves a Michelin star, seriously.",5.0
hanschristiang2017,"October 8, 2022",October 2022,Clochard,Good good nice surroundings,I saw this restaurant because it is directly located opposite my hotel. The interior gave a very posh impression. This i tried it. The cuisine is inspired by italy. Actually i was not disappointed. I liked it enough to return the next evening because of...More,4.0
651wilmal,"September 28, 2021",September 2021,Clochard,Great place to visit for fine dining lovers!,"We visited this restaurant on our first day of our trip to Thessaloniki. We love it. As we arrived quite late at night, we were still welcome to dine at 23h. We did not feel rushed by the staff at all and were able to...More",5.0
mmall73,"December 21, 2021",December 2021,Clochard,Romantic Dinner,A very nice restaurant with very friendly and attentive staff. Food was very nice. Wine list is very good. A place that you must visit for sure. Reservation is recommended to avoid surprises. I will visit it again and again.,5.0
artman_ori,"November 3, 2020",October 2020,Clochard,Clochard should be a MICHELIN rated restaurant!,"Clochard should be a MICHELIN rated restaurant! Yes, I mean just that, for the food, service, and general ambiance. The food was very tasty, innovative. The service impeccable including the food and wine advice. As for the location, the moment one walks in, one is...More",5.0
mi8013,"February 21, 2022",February 2022,Clochard,EXCELLENT Restaurant!,"Renovated and at its best!! The food (fish cooked in Josper) was Excellent! The amuse bouche, the appetizers Excellent. The service, Excellent. The crepe suzette ,excellent! Bravo for a really exceptional restaurant in the heart of Thessaloniki !!!",5.0
manosi2014,"April 11, 2017",April 2017,Clochard,There are better places to eat in this city,"I ordered their most expensive dish Black Angus Ribeye stake These people are really bold What they served was nothing to look or taste like a Black Angus Ribey stake. A thin pathetic piece of meat, tasteless, i ordered it medium done and it had...More",1.0
KonstantinosEv,"January 5, 2017",January 2017,Clochard,Bad food,"We went there for a late lunch and we were very disappointed. It sucked, extremely high prices (New York like) for the level of quality, prepackaged food that tasted the same or even worse than a microwavable dinner that you buy in the middle aisle...More",1.0
managerbluebay,"December 21, 2019",December 2019,Clochard,Lunch after shopping,"Remaining one of my favorite restaurants in Thessaloniki, I went there for a visit after my Christmas shopping and felt totally rewarded. Fresh ingredients, high quality meat, tasty food. This time I had chateaubriand with mushed potatoes and veggies. Very balanced taste with juicy meat....More",5.0
Panos L,"April 1, 2014",,Clochard,Not even close,"So after reading all the reviews about this restaurant , fasinated by the rewards they have, i decided to visit it with my girlfriend . Long story sort : service good , food worse that an average traditional greek restaurant , creativity none and really...More",2.0
ArtisticLady1,"December 2, 2018",December 2018,Clochard,Memorable dining experience,"We just had lunch at Clochard. For appetizers, we had the pear-greens salad and the stuffed grapeleaves. Outstanding dishes; both of them. For main menu, my two friends had veal with fresh veggies; the meat was unbelievably tender and juicy. I had the rooster risotto,...More",5.0
Carmine47,"December 11, 2021",December 2021,Clochard,certainly not a clochard!,"Clochard is a modern restaurant managed with absolute perfection. The dishes are served in elegant and fitting plates. The service is spotless. The chef has intriguing proposals of both fish and meat. I had a tuna tartare for entrèe, simply fabulous. Then a very nice...More",5.0
AAngeliki,"June 28, 2020",June 2020,Clochard,"Exceptional service , great dishes!","In the center of Thessaloniki, nice decoration, variety of wines, delicious & high quality dishes! Loved their greek salad, the pasta with seafood and the tuna tartar! They bring u 3 different breads to taste and welcome dish! Recommended!",5.0
lawyer933,"October 28, 2019",October 2019,Clochard,One of the best in Thessaloniki,One of my favorite as it combines elegant decoration and treatment with perfect food.. A bit expensive but worthwhile,5.0
Nikolas D,"December 24, 2018",December 2018,Clochard,World class elegant dining,It's been many years since I wanted to visit this Thessaloniki classic in one of my visits to motherland but always something some other new pop up came up to catch our attention. The time has come and just before Christmas we booked a table...More,4.0
Travel_sun_sea_lover,"November 30, 2018",October 2018,Clochard,A must in Thessaloníki,"It was a great experience, delicious food with a great variety of choices such as fish and meat. Spectacular desert! The restaurant has an outstanding furniture and a friendly staff! I will go there every time I will be back in this city! Highly recommended",5.0
rafsglobe,"January 3, 2018",December 2017,Clochard,Uneven food quality - average value for money,"Impressive interior design with several eye-catching features such as the metal-plated ceiling.
6 of us dined at Clochard, which apparently used to be a leading restaurant of Thessaloniki. The food was very uneven, both in terms of taste and presentation. My seafood starter edged towards the elaborate and was quite pleasing. Other guests went for the pear salad which lacked creativity and any sort of excitement. My meat (beef) was excellent, but other guests were disappointed by a fish dish and a lamb dish.
Relatively expensive restaurant, so overall average.",3.0
laura30_10,"October 15, 2017",October 2017,Clochard,"Classic, high quality restaurant","This is a must. It holds a well deserved reputation of a place which serves excellent food, in a clean, sleek environment. Dont expect the youngest crowd in the city. But what you'll have will be top quality and you will be politely looked after....More",5.0
hlk613,"September 2, 2017",September 2017,Clochard,Excellent Fine Dining,If Trip Advisor allowed for six stars I would give that to Clochard. The service is friendly and impeccable. We followed the suggestions and had the duck breast and the lamb filet preceded by a salad with baked pear and mushroom risotto. Everything was delicious...More,5.0
nikosstephanietasos,"February 25, 2017",February 2017,Clochard,Special Restaurant in Thessaloniki,"This is a special restaurant. The food selections on the menu are not many, but they are all excellent. There is a good balance between different types of dishes. The chef integrates Greek traditional ingredients (all of exceptional quality) in modern type cuisine dishes. If...More",5.0
Tina G,"December 17, 2015",December 2015,Clochard,Excellent !,"Excellent restaurant in the heart of Thessaloniki. Even outside it looks like New York restaurant. Tasteful and inspired starters, don't miss ""Sarmadakia"", but Ravioli nothing spacial ( for my taste), Super Tagliata and a big variety of wines. The only point ( like everywhere in...More",4.0
dim t,"November 5, 2014",October 2014,Clochard,Gourmet dishes at a reasonable price!,"I have been visiting Clochard several times in the last ten years, during which the firm was awarded with 6 consecutive annual Golden Hats. I have been enjoying excellent dishes in a nice atmosphere served by professional excellence. Recently, I have had lunch and dinner...More",5.0
mi8013,"December 3, 2022",November 2022,Clochard,The best restaurant in Thessaloniki!!!,"The best meal we had in Thessaloniki!! The asparagus salad, the Black Angus steak and the Crepe Suzette in the end were all EXCELLENT! Service and surroundings also excellent! We high recommend it and we will definitely visit it when in Thessaloniki!!!",5.0
mirceam_11,"August 29, 2022",August 2022,Clochard,Bad experience,"They don t serve coffe without food, even if I drink about 3,4 coffes Just for eating. În rest hope the food are ok. Not much peopleMore",1.0
229stefanie,"September 21, 2020",September 2020,Clochard,Excellent restaurant,We had a very good diner in the clochard. We started with the moussaka and the poached pear. After that we had the salmon and the ravioli and we finished with a beautyful dessert; the chcolat cremeux. Everything was prepared with love for the ingrediënts...More,5.0
pierrevallet86,"July 11, 2020",July 2020,Clochard,Excellent restaurant The best,Excellent restaurant The best in Thessalonique Food service all is perfect Location in center easy to come,5.0
Dafydd56,"October 5, 2019",September 2019,Clochard,Exploring the city!,What an amazing find! Lovely friendly place and atmosphere. Welcoming staff and great menu. Tasty complimentary soup starter with wonderful assortment of light breads to taste. Main starter was pork Moussaka - great presentation and tasted delicious. For main I had the duck with purée...More,5.0
JOHN H,"August 24, 2019",August 2019,Clochard,The rumors proved to be untrue !!!,My dinner with business associates was below my expectations. The quality of the food was modest. Most of the dishes were not fresh but prepared in advance and lacked of flavor and culinary creativity. The selection of wines very limited and the service personnel was...More,2.0
